	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
203	203	RoBERTa-base	BADGE	70	0.391	0.324	
204	204	DeBERTa-base	Density	70	0.329	0.168	
205	205	RoBERTa-base	Entropy	70	0.384	0.309	
206	206	DeBERTa-large	Entropy	70	0.382	0.266	
207	207	RoBERTa-large	BADGE	70	0.391	0.300	
208	208	BERT-base	BADGE	70	0.371	0.294	
209	209	RoBERTa-base	ALPS	70	0.378	0.333	
210	210	BERT-large	ALPS	80	0.393	0.321	
211	211	BERT-large	Density	80	0.380	0.290	
212	212	DeBERTa-base	Entropy	80	0.364	0.243	
213	213	RoBERTa-base	Entropy	80	0.369	0.274	
214	214	DeBERTa-large	Density	80	0.333	0.168	
215	215	DeBERTa-base	Density	80	0.331	0.168	
216	216	DeBERTa-base	bertKM	80	0.360	0.237	
217	217	RoBERTa-base	Density	80	0.318	0.182	
218	218	DeBERTa-large	BADGE	80	0.422	0.339	
219	219	DeBERTa-base	ALPS	80	0.362	0.260	
220	220	RoBERTa-base	bertKM	80	0.351	0.274	
221	221	RoBERTa-large	bertKM	80	0.391	0.313	
222	222	DeBERTa-large	bertKM	80	0.571	0.570	
223	223	DeBERTa-base	BADGE	80	0.362	0.234	
224	224	BERT-large	Entropy	80	0.380	0.276	
225	225	BERT-base	BADGE	80	0.351	0.255	
226	226	BERT-large	BADGE	80	0.387	0.292	
227	227	DeBERTa-large	Entropy	80	0.427	0.362	
228	228	BERT-large	bertKM	80	0.440	0.360	
229	229	RoBERTa-base	BADGE	80	0.380	0.305	
230	230	BERT-base	Entropy	80	0.331	0.174	
231	231	BERT-base	Density	80	0.333	0.167	
232	232	BERT-base	bertKM	80	0.342	0.199	
233	233	RoBERTa-large	Entropy	80	0.416	0.362	
234	234	DeBERTa-large	ALPS	80	0.522	0.516	
235	235	RoBERTa-large	Density	80	0.329	0.166	
236	236	RoBERTa-base	ALPS	80	0.364	0.307	
237	237	RoBERTa-large	ALPS	80	0.398	0.376	
238	238	RoBERTa-large	BADGE	80	0.404	0.313	
239	239	BERT-base	ALPS	80	0.331	0.221	
240	240	DeBERTa-large	bertKM	90	0.504	0.479	
241	241	DeBERTa-base	bertKM	90	0.367	0.261	
242	242	DeBERTa-base	Density	90	0.331	0.172	
243	243	BERT-base	bertKM	90	0.344	0.209	
244	244	RoBERTa-base	Density	90	0.320	0.223	
245	245	BERT-base	ALPS	90	0.340	0.215	
246	246	RoBERTa-base	ALPS	90	0.436	0.407	
247	247	DeBERTa-base	BADGE	90	0.411	0.349	
248	248	BERT-base	BADGE	90	0.358	0.278	
249	249	DeBERTa-base	ALPS	90	0.418	0.362	
250	250	RoBERTa-base	BADGE	90	0.382	0.311	
251	251	BERT-base	Density	90	0.333	0.167	
252	252	BERT-base	Entropy	90	0.331	0.173	
253	253	DeBERTa-base	Entropy	90	0.373	0.259	
254	254	DeBERTa-large	BADGE	90	0.478	0.404	
255	255	BERT-large	bertKM	90	0.440	0.393	
256	256	RoBERTa-base	Entropy	90	0.407	0.350	
257	257	RoBERTa-large	BADGE	90	0.373	0.259	
258	258	DeBERTa-large	Entropy	90	0.376	0.263	
259	259	DeBERTa-large	Density	90	0.331	0.167	
260	260	BERT-large	Density	90	0.351	0.223	
261	261	BERT-large	BADGE	90	0.320	0.237	
262	262	RoBERTa-large	ALPS	90	0.431	0.385	
263	263	BERT-large	Entropy	90	0.369	0.252	
264	264	RoBERTa-base	bertKM	90	0.347	0.269	
265	265	RoBERTa-large	Density	90	0.327	0.173	
266	266	RoBERTa-large	bertKM	90	0.338	0.180	
267	267	RoBERTa-large	Entropy	90	0.420	0.356	
268	268	BERT-large	ALPS	90	0.376	0.276	
269	269	DeBERTa-large	ALPS	90	0.502	0.483	
270	270	RoBERTa-base	ALPS	100	0.391	0.330	
271	271	RoBERTa-base	CAL	100	0.398	0.323	
272	272	RoBERTa-base	CAL	100	0.373	0.320	
273	273	RoBERTa-base	Entropy	100	0.373	0.290	
274	274	RoBERTa-base	CAL	100	0.404	0.333	
275	275	RoBERTa-base	CAL	100	0.424	0.346	
276	276	RoBERTa-base	Density	100	0.351	0.252	
277	277	RoBERTa-base	CAL	100	0.393	0.329	
278	278	RoBERTa-base	BADGE	100	0.436	0.397	
279	279	RoBERTa-base	CAL	100	0.378	0.330	
280	280	RoBERTa-base	bertKM	100	0.349	0.275	
281	281	RoBERTa-base	CAL	100	0.327	0.245	
282	282	RoBERTa-large	CAL	100	0.409	0.308	
283	283	RoBERTa-base	CAL	100	0.376	0.301	
284	284	BERT-large	Density	100	0.344	0.212	
285	285	BERT-large	CAL	100	0.371	0.285	
286	286	BERT-large	CAL	100	0.456	0.386	
287	287	BERT-large	BADGE	100	0.380	0.292	
288	288	BERT-large	CAL	100	0.402	0.314	
289	289	BERT-large	bertKM	100	0.416	0.343	
290	290	BERT-large	CAL	100	0.396	0.311	
291	291	BERT-large	ALPS	100	0.367	0.258	
292	292	BERT-large	Entropy	100	0.358	0.240	
293	293	BERT-large	CAL	100	0.378	0.288	
294	294	BERT-large	CAL	100	0.387	0.284	
295	295	BERT-large	CAL	100	0.387	0.306	
296	296	BERT-large	CAL	100	0.389	0.292	
297	297	DeBERTa-base	CAL	100	0.364	0.241	
